Overall,Potential,Wage,International Reputation,Skill Moves,Release Clause,Club_Club Class C,Club_Club Class B,Contract Expire Year,Value
1.0,0.9787234042553192,1.0,1.0,0.96875,0.9929851328659677,0.0,1.0,0.375,0.932483753903283
1.0,0.9787234042553192,0.7163120567375887,1.0,0.96875,0.557186512164218,0.0,0.0,0.5,0.6497594733732804
0.9583333333333333,0.9574468085106382,0.5124113475177305,1.0,0.9375,0.9999999999999999,0.0,1.0,0.5,1.0000000000000002
0.9375,0.9574468085106382,0.4592198581560284,0.75,0.328125,0.6076058696900744,0.0,1.0,0.25,0.6075618195628323
0.9375,0.9361702127659575,0.6276595744680852,0.75,1.0,0.8610179449069871,0.0,1.0,0.625,0.8607477424255211
0.9375,0.9148936170212767,0.601063829787234,0.75,0.9375,0.7544796503088733,0.0,1.0,0.25,0.7847919655667145
0.9375,0.9148936170212767,0.7429078014184397,0.75,0.96875,0.6023447193395502,0.0,1.0,0.25,0.5653641657523841
0.9375,0.9148936170212767,0.8049645390070922,1.0,0.96875,0.7189668854428354,0.0,1.0,0.375,0.6750780656595493
0.9375,0.9148936170212767,0.6719858156028369,0.75,0.90625,0.45853994309189033,0.0,1.0,0.25,0.43033167355895013
0.9166666666666667,0.9574468085106382,0.16489361702127658,0.5,0.25,0.6334731922468181,0.0,1.0,0.375,0.5738036965144738
0.9166666666666667,0.8936170212765957,0.3617021276595745,0.75,0.921875,0.557186512164218,0.0,1.0,0.375,0.6497594733732804
0.9166666666666667,0.8936170212765957,0.6276595744680852,0.75,0.9375,0.6873999833396904,0.0,1.0,0.5,0.6455397079922356
0.9166666666666667,0.8936170212765957,0.2198581560283688,0.5,0.765625,0.3954061388856006,0.0,1.0,0.125,0.37125495822432275
0.9166666666666667,0.8936170212765957,0.5035460992907802,0.75,0.890625,0.48659941162801906,0.0,1.0,0.25,0.5062874504177568
0.8958333333333333,0.8936170212765957,0.3971631205673759,0.5,0.890625,0.5317576188033513,0.0,1.0,0.625,0.5316060427040257
0.8958333333333333,0.9787234042553192,0.3617021276595745,0.5,0.90625,0.6729318198757491,0.0,0.0,0.5,0.751033842518356
0.8958333333333333,0.9148936170212767,0.3617021276595745,0.5,0.921875,0.704498721978894,0.0,1.0,0.75,0.704616423326863
0.8958333333333333,0.8936170212765957,0.25531914893617025,0.75,0.953125,0.7268586109686216,0.0,1.0,0.625,0.65819900413537
0.8958333333333333,0.9361702127659575,0.423758865248227,0.5,0.265625,0.5405262027208916,0.0,1.0,0.5,0.4894083888935776
0.8958333333333333,0.8936170212765957,0.423758865248227,0.75,0.234375,0.4984369999166984,0.0,1.0,0.75,0.4514305004641742
0.8958333333333333,0.8723404255319149,0.5567375886524824,0.75,0.84375,0.46292423505066044,0.0,1.0,0.625,0.434551438939995
0.8958333333333333,0.8723404255319149,0.35283687943262415,0.75,0.90625,0.48659941162801906,0.0,1.0,0.25,0.5062874504177568
0.8958333333333333,0.8723404255319149,0.22872340425531915,1.0,0.34375,0.2748381100194224,0.0,1.0,0.375,0.320617773651785
0.8958333333333333,0.8723404255319149,0.5301418439716312,0.75,0.90625,0.522989034885811,0.0,1.0,0.375,0.5442653388471601
0.8958333333333333,0.8723404255319149,0.3794326241134752,0.75,0.71875,0.19548242556568327,0.0,0.0,0.25,0.22778293526879909
0.875,1.0000000000000002,0.17553191489361702,0.5,0.90625,0.7281738985562526,0.0,1.0,0.5,0.683517596421639
